frame,time_sec,minute_bin,vehicle_count,car_count,motorcycle_count,bus_count,truck_count,track_ids,track_speeds_kmh
0,0.0,0,8,5,0,2,1,"4,5,6,8,10,11,12,14",
1,0.033,0,8,5,0,2,1,"4,5,6,8,10,11,12,14","4:15.3,5:0.0,6:0.0,8:12.7,10:64.7,11:28.8,12:34.1,14:28.4"
2,0.067,0,11,9,0,2,0,"5,6,8,10,11,12,14,15,16,17,18","5:26.9,6:7.6,8:12.7,10:16.1,11:14.4,12:27.5,14:22.9"
3,0.1,0,11,9,0,2,0,"5,6,8,10,11,12,14,15,16,17,18","5:23.9,6:5.1,8:12.7,10:14.4,11:9.6,12:18.3,14:21.2,15:12.7,16:0.0,17:0.0,18:0.0"
4,0.133,0,9,8,0,1,0,"5,6,8,11,12,14,15,16,18","5:24.8,6:9.7,8:3.2,11:7.2,12:20.5,14:20.3,15:19.0,16:7.2,18:20.1"
5,0.167,0,9,9,0,0,0,"5,6,8,12,14,15,16,17,18","5:30.7,6:10.8,8:7.6,12:12.6,14:23.9,15:38.3,16:24.0,18:18.9,17:33.8"
6,0.2,0,9,6,0,2,1,"5,6,10,11,12,14,16,17,25","5:32.2,6:7.4,12:9.0,14:24.1,16:14.8,17:38.1,10:2.1,11:2.4"
7,0.234,0,9,8,0,1,0,"5,6,8,10,14,15,16,18,25","5:33.3,6:9.0,14:23.6,16:8.1,25:34.1,10:6.5,8:15.5,15:38.2,18:14.8"
8,0.267,0,8,7,0,0,1,"5,6,8,12,14,16,18,25","5:34.9,6:14.5,14:21.9,16:5.4,25:34.1,8:16.3,18:14.2,12:14.6"
9,0.3,0,8,7,0,0,1,"5,6,8,12,14,16,18,25","5:28.4,6:14.5,14:19.5,16:4.6,25:29.7,8:18.5,18:13.8,12:11.6"
10,0.334,0,8,7,0,1,0,"5,6,8,11,14,16,17,18","5:35.7,6:16.7,14:21.2,16:2.1,8:21.3,18:15.6,17:28.6,11:2.9"
11,0.367,0,8,7,0,1,0,"5,6,8,11,12,14,16,18","5:40.7,6:15.2,14:22.7,16:7.4,8:29.3,18:18.5,11:2.6,12:13.0"
12,0.4,0,8,7,0,1,0,"5,6,8,10,12,14,16,18","5:39.8,6:11.2,14:25.8,16:4.1,8:30.2,18:19.1,12:13.7,10:7.5"
13,0.434,0,9,6,0,3,0,"5,6,8,10,11,12,14,16,18","5:42.4,6:14.2,14:27.0,16:4.1,8:30.1,18:19.1,12:12.0,10:5.0,11:1.2"
14,0.467,0,7,6,0,1,0,"5,6,8,10,12,16,18","5:40.5,6:13.3,16:4.1,8:29.3,18:19.6,12:17.3,10:8.1"
15,0.501,0,8,7,0,1,0,"5,6,8,10,12,16,18,30","5:39.8,6:9.7,16:4.6,8:27.6,18:19.6,12:19.3,10:14.5"
16,0.534,0,8,6,0,2,0,"6,8,10,11,12,16,18,30","6:11.7,16:6.2,8:31.0,18:23.2,12:17.6,10:16.2,30:79.5,11:0.0"
17,0.567,0,8,7,0,1,0,"5,6,8,10,12,16,18,30","6:9.7,16:6.2,8:31.7,18:25.6,12:18.3,10:8.2,30:74.7,5:49.2"
18,0.601,0,8,7,0,0,1,"1,5,6,8,12,16,18,30","6:10.9,16:4.6,8:26.2,18:25.8,12:18.6,30:60.6,5:41.2"
19,0.634,0,9,7,0,0,2,"1,5,6,12,16,17,18,30,35","1:77.2,6:12.7,16:4.6,18:19.5,12:18.6,30:51.2,5:37.1,17:21.0"
20,0.667,0,10,9,0,0,1,"1,5,6,8,12,14,16,18,30,35","1:63.8,6:10.9,16:4.1,18:18.7,12:21.9,30:47.8,5:33.6,35:34.1,14:22.9,8:31.5"
21,0.701,0,10,9,0,0,1,"1,5,6,8,12,14,16,18,30,35","1:50.9,6:8.3,16:0.0,18:19.3,12:19.7,30:41.7,5:27.7,35:18.0,14:22.1,8:23.6"
22,0.734,0,10,8,0,1,1,"1,5,6,8,11,12,16,18,30,35","1:45.4,6:8.7,16:2.9,18:21.8,12:20.7,30:38.9,5:28.6,35:23.0,8:20.2,11:0.8"
23,0.767,0,11,9,0,1,1,"1,5,6,8,10,12,14,16,18,30,35","1:46.3,6:4.9,16:9.2,18:23.2,12:15.3,30:30.8,5:32.7,35:23.4,8:19.9,10:1.1,14:27.2"
24,0.801,0,11,9,0,1,1,"1,5,6,8,10,12,14,16,18,30,35","1:47.7,6:4.9,16:6.2,18:20.7,12:15.3,30:24.6,5:26.0,35:23.2,8:19.4,10:5.4,14:26.2"
25,0.834,0,9,8,0,1,0,"1,5,6,8,10,12,14,16,18","1:44.9,6:4.6,16:8.2,18:21.8,12:12.0,5:28.4,8:20.3,10:4.7,14:23.9"
26,0.868,0,12,10,0,2,0,"1,2,5,6,8,10,11,12,14,16,18,50","1:37.4,6:4.9,16:12.5,18:23.1,12:14.2,5:28.4,8:23.6,10:11.8,14:22.4,11:0.7"
27,0.901,0,12,10,0,2,0,"1,2,5,6,8,10,11,12,14,16,18,50","1:32.7,2:0.0,6:4.9,16:12.3,18:21.8,12:10.9,5:26.8,8:16.7,10:13.1,14:21.2,50:14.4,11:1.4"
28,0.934,0,11,11,0,0,0,"1,2,5,6,8,12,14,16,18,30,50","1:38.4,2:31.7,6:6.2,16:12.3,18:24.7,12:9.9,5:30.0,8:22.1,14:25.6,50:20.3,30:24.1"
29,0.968,0,12,10,0,1,1,"1,2,5,6,8,10,12,16,18,30,50,54","1:40.1,2:42.3,6:6.2,16:8.5,18:20.7,12:11.1,5:34.4,8:27.6,50:19.2,30:24.0,10:17.7"
30,1.001,0,13,11,0,1,1,"1,2,5,6,8,10,12,14,16,18,30,50,54","1:38.4,2:44.9,6:6.4,16:6.2,18:14.2,12:14.2,5:35.7,8:29.7,50:0.0,54:22.7,30:22.8,10:8.8,14:28.2"
31,1.034,0,12,9,0,1,2,"1,2,5,6,8,10,12,18,30,50,54,56","1:36.1,2:46.0,6:8.3,18:14.6,12:14.2,5:33.3,8:31.2,50:2.9,54:23.4,30:24.1,10:6.5"
32,1.068,0,11,9,0,1,1,"1,2,5,6,8,11,12,18,30,50,54","1:33.4,2:40.4,6:7.7,18:11.5,12:18.6,5:29.3,8:28.3,50:3.4,54:23.0,30:23.0,11:0.9"
33,1.101,0,10,8,0,1,1,"1,2,5,6,8,11,12,30,50,54","1:31.7,2:36.4,6:7.7,12:17.4,5:27.0,8:24.4,50:2.9,54:20.1,30:21.8,11:0.9"
34,1.134,0,10,8,0,1,1,"1,2,5,6,8,11,12,18,30,50","1:33.4,2:42.3,6:12.0,12:17.4,5:30.4,8:30.9,50:4.6,30:24.5,11:1.0,18:19.2"
35,1.168,0,11,8,0,3,0,"1,2,5,6,8,10,11,12,18,30,50","1:30.4,2:40.5,6:13.1,12:18.6,5:31.0,8:29.7,50:4.6,30:22.9,11:1.5,18:21.6,10:4.2"
36,1.201,0,11,9,0,1,1,"1,2,6,8,11,12,16,18,30,50,64","1:34.9,2:39.1,6:12.0,12:17.6,8:27.2,50:2.1,30:21.2,11:1.0,18:19.2,16:5.4"
37,1.235,0,11,9,0,1,1,"1,2,5,6,8,11,12,14,16,30,50","1:37.4,2:36.4,6:10.3,12:21.8,8:26.0,50:10.3,30:21.2,11:1.3,16:8.7,14:21.9,5:26.3"
38,1.268,0,11,11,0,0,0,"1,2,5,6,8,12,14,16,18,30,50","1:34.9,2:31.0,6:10.3,12:22.9,8:23.6,50:12.5,30:19.5,16:7.0,14:24.1,5:25.6,18:19.6"
39,1.301,0,12,10,0,0,2,"1,2,5,6,8,12,14,16,18,30,50,73","1:35.2,2:31.0,6:9.9,12:19.6,8:24.2,50:18.5,30:17.8,16:6.0,14:23.4,5:24.8,18:19.6"
40,1.335,0,11,9,0,1,1,"1,2,5,6,8,11,12,14,16,30,50","1:40.5,2:43.9,6:9.9,12:20.7,8:27.7,50:24.7,30:21.2,16:1.7,14:22.4,5:32.1,11:1.6"
41,1.368,0,11,8,0,2,1,"1,2,5,6,8,10,11,12,16,30,50","1:42.1,2:43.7,6:6.5,12:22.9,8:25.6,50:21.5,30:16.2,16:1.2,5:36.2,11:2.3,10:0.8"
42,1.401,0,10,9,0,1,0,"1,2,6,8,10,12,14,16,30,50","1:41.9,2:41.9,6:4.4,12:21.8,8:24.7,50:20.6,30:14.6,16:1.2,10:2.9,14:23.2"
43,1.435,0,11,10,0,0,1,"1,2,5,6,8,10,12,14,16,30,50","1:34.6,2:39.9,6:3.4,12:21.8,8:22.7,50:20.7,30:14.7,16:6.5,10:5.0,14:23.7,5:33.5"
44,1.468,0,9,9,0,0,0,"1,2,5,6,8,12,14,30,50","1:29.0,2:40.1,6:5.6,12:19.7,8:23.6,50:23.0,30:13.1,14:22.7,5:29.1"
45,1.502,0,10,9,0,0,1,"1,2,5,6,8,12,14,30,50,87","1:25.5,2:40.1,6:4.9,12:18.0,8:22.1,50:18.9,30:13.9,14:20.3,5:25.6"
46,1.535,0,10,9,0,0,1,"1,2,5,6,8,12,14,30,50,87","1:34.6,2:45.5,6:4.9,12:19.7,8:25.2,50:23.0,30:16.9,14:18.1,5:27.1,87:34.1"
47,1.568,0,12,10,0,1,1,"1,2,5,6,8,10,12,14,16,30,50,87","1:35.2,2:38.3,6:5.6,12:19.3,8:26.2,50:23.0,30:17.9,14:20.3,5:29.6,87:45.4,16:11.6,10:2.1"
48,1.602,0,10,9,0,1,0,"1,2,5,6,8,10,12,14,16,50","1:33.1,2:32.7,6:3.4,12:19.3,8:25.6,50:23.0,14:21.3,5:29.2,16:10.1,10:2.5"
49,1.635,0,10,9,0,0,1,"1,2,5,6,8,10,12,14,30,50","1:32.8,2:36.4,6:5.6,12:24.4,8:23.1,50:27.6,14:20.7,5:32.1,10:2.2,30:17.1"
50,1.668,0,10,8,0,1,1,"1,2,5,6,8,11,12,16,30,50","1:33.1,2:32.8,6:9.0,12:27.4,8:23.1,50:25.1,5:31.7,30:17.3,11:0.8,16:8.0"
51,1.702,0,12,10,0,1,1,"1,2,5,6,8,11,12,16,30,50,100,101","1:33.1,2:29.2,6:9.0,12:25.1,8:20.5,50:26.2,5:31.7,30:16.2,11:1.2,16:5.4"
52,1.735,0,9,8,0,0,1,"1,2,5,6,8,10,12,30,50","1:40.3,2:33.1,6:7.7,12:26.2,8:21.8,50:35.0,5:37.9,30:17.6,10:4.8"
53,1.768,0,10,8,0,1,1,"1,2,5,6,8,10,12,16,30,50","1:34.6,2:29.2,6:8.7,12:26.2,8:23.1,50:27.6,5:37.4,30:18.9,10:4.7,16:2.7"
54,1.802,0,9,7,0,0,2,"1,2,5,6,8,10,12,30,50","1:32.6,2:27.3,6:8.3,12:28.3,8:21.8,50:23.4,5:39.8,30:16.2,10:3.0"
55,1.835,0,11,7,0,3,1,"1,2,6,8,10,11,12,16,30,50,105","1:30.9,2:32.7,6:13.2,12:28.3,8:19.3,50:23.4,30:13.4,10:2.4,11:0.0,16:2.5"
56,1.869,0,11,8,0,2,1,"1,2,6,8,9,11,12,16,30,50,105","1:27.3,2:27.3,6:12.4,12:25.1,8:18.0,50:17.7,30:14.0,105:136.7,11:0.0,16:1.1"
57,1.902,0,11,8,0,2,1,"1,2,6,8,9,11,12,16,30,50,105","1:25.4,2:27.3,6:10.3,9:12.7,12:20.7,8:15.4,50:17.7,30:14.0,105:88.4,11:1.0,16:5.2"
58,1.935,0,12,8,0,3,1,"1,2,6,8,9,10,11,12,14,30,50,105","1:29.1,2:29.2,6:9.0,9:48.3,12:21.9,8:21.8,50:20.3,30:16.7,105:71.9,11:1.8,14:19.8,10:7.7"
59,1.969,0,11,7,0,1,3,"1,2,6,8,9,10,12,16,30,50,105","1:23.6,2:32.6,6:10.3,9:49.5,12:23.1,8:24.7,50:16.1,30:13.1,105:31.7,10:8.4,16:2.9"
60,2.002,0,10,9,0,0,1,"1,2,6,8,9,10,12,14,30,50","1:25.5,2:30.9,6:11.2,9:47.2,12:21.0,8:23.2,50:13.2,30:13.1,10:10.4,14:19.4"
61,2.035,0,12,8,0,3,1,"1,2,6,8,9,10,11,12,14,30,50,105","1:23.6,2:29.1,6:10.3,9:46.7,12:19.3,8:23.2,50:16.1,30:13.1,10:10.0,14:21.1,11:1.6,105:19.5"
62,2.069,0,12,8,0,3,1,"1,2,6,8,9,10,11,12,14,30,50,105","1:25.5,2:25.5,6:9.0,9:44.8,12:22.2,8:24.4,50:14.5,30:10.9,10:7.1,14:20.5,11:1.2,105:21.2"
63,2.102,0,12,8,0,3,1,"1,2,6,8,9,10,11,12,14,30,50,105","1:23.6,2:23.6,6:8.3,9:40.1,12:20.1,8:23.2,50:14.8,30:10.3,10:4.5,14:19.8,11:1.7,105:18.1"
64,2.135,0,12,9,0,2,1,"1,2,6,8,9,10,12,14,30,50,105,115","1:29.0,2:29.1,6:5.6,9:45.5,12:25.3,8:28.7,50:21.2,30:10.3,10:2.8,14:19.7,105:14.3"
65,2.169,0,13,9,0,2,2,"1,2,5,6,8,9,10,12,14,30,50,105,115","1:30.9,2:32.6,6:5.6,9:40.7,12:25.1,8:26.2,50:18.4,30:9.9,10:3.6,14:19.6,105:20.1,115:10.8,5:34.1"
66,2.202,0,14,9,0,3,2,"1,2,5,6,8,9,10,11,12,14,30,50,105,115","1:30.9,2:27.4,6:6.9,9:39.1,12:28.3,8:23.2,50:18.4,30:11.7,10:1.8,14:20.3,105:19.2,115:31.5,5:31.4,11:2.9"
67,2.236,0,13,8,0,2,3,"1,2,5,6,8,9,10,11,12,30,50,105,115","1:23.9,2:29.1,6:7.7,9:43.8,12:30.5,8:21.8,50:20.2,30:10.4,10:9.1,105:19.6,115:29.0,5:27.8,11:3.9"
68,2.269,0,12,9,0,2,1,"1,2,5,6,8,9,10,11,12,14,30,50","1:25.6,2:29.2,6:6.9,9:43.1,12:30.5,8:22.1,50:16.6,30:8.7,10:7.5,5:30.8,11:5.4,14:23.6"
69,2.302,0,12,9,0,2,1,"1,2,5,6,8,9,10,11,12,14,30,50","1:23.9,2:29.2,6:4.9,9:39.8,12:21.9,8:21.9,50:15.7,30:9.9,10:7.5,5:30.1,11:2.9,14:21.3"
70,2.336,0,9,7,0,1,1,"2,6,8,9,10,12,14,30,50","2:31.3,6:4.9,9:48.8,12:27.0,8:23.6,50:18.4,30:8.3,10:12.8,14:25.8"
71,2.369,0,8,6,0,2,0,"2,6,8,9,10,11,12,50","2:27.3,6:10.9,9:44.2,12:27.6,8:22.1,50:12.0,10:7.3,11:1.4"
72,2.402,0,11,7,0,3,1,"1,2,6,8,9,10,11,12,30,50,105","2:25.6,6:14.0,9:41.9,12:31.2,8:21.8,50:12.0,10:7.3,11:4.5,105:22.0,1:28.8,30:9.1"
73,2.436,0,12,9,0,3,0,"1,2,6,8,9,10,11,12,14,30,50,105","2:25.6,6:10.9,9:40.1,12:27.8,8:21.1,50:11.1,10:5.7,11:4.5,105:21.9,1:24.3,30:9.0,14:27.0"
74,2.469,0,9,7,0,2,0,"1,2,6,8,9,10,11,12,50","2:30.4,6:9.4,9:37.4,12:29.6,8:21.8,50:13.0,10:9.8,11:4.0,1:24.1"
75,2.502,0,9,7,0,2,0,"1,2,6,8,9,10,11,12,50","2:28.2,6:9.4,9:33.4,12:29.1,8:20.5,50:14.5,10:9.2,11:1.8,1:24.1"
76,2.536,0,10,7,0,3,0,"1,2,6,8,9,10,11,12,30,50","2:30.4,6:10.8,9:37.4,12:35.9,8:23.1,50:16.9,10:7.5,11:2.5,1:26.9,30:8.9"
77,2.569,0,9,6,0,3,0,"1,2,6,8,9,10,11,30,50","2:28.2,6:10.9,9:29.9,8:19.3,50:10.5,10:2.6,11:2.5,1:24.1,30:7.3"
78,2.603,0,8,6,0,2,0,"1,2,6,9,10,16,30,50","2:27.7,6:7.9,9:33.9,50:14.4,10:3.6,1:24.6,30:12.2,16:1.1"
79,2.636,0,8,6,0,2,0,"2,6,8,9,10,11,30,50","2:26.0,6:4.9,9:34.4,50:16.6,10:2.6,30:12.2,8:17.2,11:0.0"
80,2.669,0,11,9,0,2,0,"1,2,6,7,8,9,10,11,14,30,50","2:25.6,6:6.4,9:36.1,50:16.6,10:2.6,30:12.2,8:12.4,11:2.5,14:21.1,1:21.6"
81,2.703,0,11,9,0,2,0,"1,2,6,7,8,9,10,11,14,30,50","2:18.1,6:6.9,9:28.7,50:12.5,7:12.7,10:1.8,30:8.1,8:10.6,11:1.8,14:20.0,1:20.6"
82,2.736,0,10,8,0,2,0,"2,6,7,8,9,10,11,14,30,50","2:20.0,6:7.9,9:32.7,50:14.5,7:26.2,10:1.8,30:8.9,8:12.4,11:2.5,14:18.9"
83,2.769,0,11,8,0,1,2,"2,6,7,8,9,10,11,16,30,50,145","2:20.0,6:7.7,9:32.1,50:10.3,7:22.8,10:3.6,30:5.8,8:18.5,11:4.0,16:1.4"
84,2.803,0,14,10,0,2,2,"1,2,6,7,8,9,10,11,14,16,30,50,145,147","2:25.6,6:7.9,9:34.4,50:12.5,7:28.7,10:2.6,30:7.3,8:19.9,11:3.6,145:11.4,16:1.0,1:20.1,14:18.1"
85,2.836,0,13,9,0,2,2,"1,2,6,7,8,9,10,11,16,30,50,145,147","2:27.6,6:6.2,9:35.6,50:14.4,7:38.4,10:5.1,30:2.3,8:22.4,11:4.0,145:5.7,147:40.1,16:0.7,1:24.5"
86,2.87,0,12,10,0,1,1,"1,2,6,7,8,9,10,16,30,50,145,149","2:24.3,6:6.4,9:33.9,50:16.6,7:40.4,10:5.7,30:3.6,8:24.7,145:0.0,16:0.5,1:26.5"
87,2.903,0,13,10,0,2,1,"1,2,6,7,8,9,10,16,30,50,145,149,154","2:21.1,6:4.9,9:29.9,50:16.6,7:38.3,10:7.5,30:3.6,8:27.2,145:2.8,16:0.7,1:26.5,149:0.0"
88,2.936,0,10,9,0,1,0,"1,2,6,7,8,9,10,16,30,50","2:28.6,6:6.2,9:38.8,50:16.6,7:41.7,10:5.7,30:5.8,8:29.7,16:0.0,1:27.1"
89,2.97,0,10,8,0,1,1,"1,2,6,7,8,9,10,16,30,50","2:26.8,6:9.4,9:37.0,50:13.0,7:43.9,10:0.0,30:5.1,8:26.2,16:2.6,1:29.8"
90,3.003,0,10,8,0,1,1,"1,2,7,8,9,10,16,30,50,149","2:24.0,9:35.2,50:16.9,7:43.7,10:1.8,30:5.8,8:23.6,16:4.6,1:29.8,149:9.7"
91,3.036,0,13,9,0,3,1,"1,2,6,7,8,9,10,11,16,30,50,149,154","2:19.4,9:29.5,50:16.9,7:40.1,10:0.0,30:5.8,8:20.7,16:2.1,1:22.4,149:11.6,11:1.2,154:4.5,6:8.5"
92,3.07,0,10,8,0,2,0,"1,2,6,7,8,9,10,16,30,50","2:20.2,9:27.7,50:15.0,7:38.1,10:4.1,30:5.8,8:18.7,16:6.5,1:23.6,6:5.6"
93,3.103,0,10,8,0,2,0,"1,2,6,7,8,9,10,16,30,50","2:22.1,9:26.0,50:9.2,7:34.5,10:1.8,30:5.8,8:17.1,16:4.6,1:20.0,6:5.4"
94,3.136,0,11,10,0,1,0,"1,2,6,7,8,9,10,16,30,50,149","2:24.8,9:27.3,50:8.7,7:38.3,10:3.6,30:6.9,8:16.7,16:2.9,1:27.3,6:7.3,149:9.8"
95,3.17,0,8,7,0,1,0,"1,2,7,8,9,10,16,50","2:22.1,9:25.6,50:7.4,7:36.4,10:5.7,8:18.0,16:0.0,1:24.2"
96,3.203,0,10,9,0,1,0,"1,2,6,7,8,9,10,16,50,149","2:22.1,9:29.1,50:5.8,7:34.6,10:4.1,8:20.7,16:4.1,1:24.2,6:10.2,149:9.2"
97,3.237,0,10,8,0,1,1,"1,2,7,8,9,10,30,50,74,149","2:25.8,9:29.2,50:7.4,7:38.3,10:4.1,8:19.6,1:26.4,149:8.4,30:2.8"
98,3.27,0,12,10,0,2,0,"1,2,7,8,9,10,11,16,30,50,74,149","2:23.4,9:31.0,50:5.8,7:41.7,10:2.6,8:20.7,1:30.4,149:8.5,74:25.4,30:2.8,11:1.6,16:4.0"
99,3.303,0,12,10,0,2,0,"1,2,7,8,9,10,11,16,30,50,74,149","2:17.4,9:25.5,50:4.1,7:34.5,10:3.6,8:18.0,1:24.3,149:8.5,74:20.5,30:4.0,11:1.6,16:2.5"
100,3.337,0,12,10,0,2,0,"1,2,6,7,8,9,10,11,16,50,74,149","2:24.0,9:27.4,50:6.5,7:32.6,10:5.1,8:21.8,1:24.7,149:7.9,74:22.1,11:1.6,16:3.6,6:10.5"
101,3.37,0,11,9,0,1,1,"1,2,7,8,9,10,16,41,50,149,190","2:25.8,9:29.5,50:4.6,7:30.9,10:5.7,8:21.9,1:21.1,149:8.2,16:4.0"
102,3.403,0,13,10,0,2,1,"1,2,7,8,9,10,11,16,41,50,74,149,190","2:30.6,9:27.7,41:40.1,50:5.8,7:34.6,10:5.1,8:21.2,1:20.7,149:7.9,16:4.0,190:25.4,74:35.9,11:2.4"
103,3.437,0,15,11,0,3,1,"1,2,7,8,9,10,11,16,41,49,50,74,105,149,190","2:29.1,9:24.2,41:50.8,50:13.8,7:34.9,10:5.1,8:20.3,1:24.3,149:9.7,16:3.6,190:19.0,74:35.9,11:1.7,105:22.7"
104,3.47,0,13,11,0,1,1,"1,2,7,8,9,10,16,30,41,49,50,74,149","2:27.6,9:23.9,41:59.2,49:52.3,50:11.6,7:30.9,10:2.6,8:20.7,1:27.7,149:9.7,16:1.8,74:35.0,30:5.3"
105,3.504,0,13,11,0,1,1,"1,2,7,8,9,10,16,30,41,49,50,74,149","2:27.6,9:23.6,41:50.8,49:32.4,50:13.2,7:25.4,10:2.6,8:17.2,1:22.7,149:9.7,16:4.6,74:33.4,30:7.0"
106,3.537,0,13,11,0,2,0,"1,2,7,8,9,10,11,16,41,49,50,74,149","2:32.5,9:30.9,41:40.6,49:47.3,50:14.5,7:29.1,10:1.8,8:18.1,1:21.1,149:10.3,16:4.6,74:36.2,11:2.2"
107,3.57,0,13,12,0,1,0,"1,2,7,8,9,10,16,30,41,49,50,74,149","2:30.8,9:32.7,41:36.0,49:66.9,50:14.8,7:34.5,10:1.8,8:18.7,1:22.7,149:10.3,16:7.4,74:35.9,30:8.1"
108,3.604,0,14,13,0,1,0,"1,2,7,8,9,10,12,16,30,41,49,50,74,149","2:32.5,9:27.3,41:41.7,49:51.3,50:17.4,7:33.4,10:4.1,8:19.6,1:26.4,12:39.2,149:8.3,16:8.5,74:35.7,30:7.3"
109,3.637,0,14,13,0,1,0,"1,2,7,8,9,10,12,16,30,41,49,50,74,149","2:32.2,9:25.5,41:41.7,49:47.7,50:21.8,7:33.9,10:3.6,8:23.6,1:26.0,12:38.9,149:9.0,16:12.5,74:29.2,30:7.8"
110,3.67,0,14,12,0,1,1,"1,2,7,8,9,10,12,14,16,41,49,50,105,149","2:33.2,9:25.5,41:36.3,49:40.9,50:16.1,7:32.8,10:1.8,8:24.3,1:23.6,12:38.8,149:6.5,16:10.3,14:19.3,105:22.5"
111,3.704,0,14,12,0,1,1,"1,2,7,8,9,10,12,14,16,41,49,50,105,149","2:28.6,9:23.6,41:27.2,49:33.4,50:14.5,7:30.9,10:2.6,8:20.3,1:17.1,12:38.9,149:6.5,16:6.2,14:18.6,105:21.8"
112,3.737,0,13,12,0,0,1,"1,2,7,8,9,10,16,41,49,50,74,149,210","2:26.7,9:27.3,41:34.5,49:58.3,50:13.2,7:41.7,10:1.8,8:23.6,1:18.1,149:7.7,16:4.1,74:26.6"
113,3.77,0,14,12,0,2,0,"1,2,7,8,9,10,16,41,49,50,74,105,149,210","2:25.8,9:27.3,41:39.9,49:46.6,50:12.0,7:35.2,10:1.8,8:21.1,1:22.7,149:8.3,16:6.2,210:28.4,74:26.8,105:21.7"
114,3.804,0,13,11,0,2,0,"1,2,7,8,9,10,16,41,49,50,105,149,210","2:21.8,9:27.3,41:40.1,49:31.0,50:8.7,7:36.4,10:2.6,8:19.6,1:17.9,149:6.9,16:5.8,210:22.9,105:21.6"
115,3.837,0,13,11,0,2,0,"1,2,7,8,9,10,16,41,49,50,74,105,149","2:18.9,9:30.8,41:32.7,49:32.1,50:6.5,7:33.1,10:0.0,8:20.7,1:15.6,149:8.3,16:4.6,105:22.1,74:28.8"
116,3.871,0,13,11,0,2,0,"1,2,7,8,9,10,16,30,41,49,50,105,149","2:17.7,9:30.9,41:33.1,49:33.9,50:4.1,7:28.7,10:2.6,8:16.7,1:13.1,149:9.4,16:2.9,105:22.0,30:6.9"
117,3.904,0,12,10,0,2,0,"1,2,7,8,9,10,16,41,49,50,105,149","2:17.7,9:29.2,41:31.0,49:35.6,50:4.6,7:27.2,10:1.8,8:15.6,1:13.1,149:10.9,16:4.1,105:18.4"
